Major_School,GPA,GRE_Stats,Application Cycle,Status_Date,Status,University
"Chemistry, University Of Washington",3.73,GRE 164; GRE V 156; GRE AW 5.50,Fall 2021,Accepted on 4 Jan,Accept, University Of Washington
"Chemistry, University Of California, Berkeley",3.94,GRE 167; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 4 Jan,Accept, University Of California
"Chemistry, UC Santa Barbara (UCSB)",3.94,GRE 167; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 3 Jan,Accept, UC Santa Barbara (UCSB)
"Chemistry, Rutgers University - New Brunswick",3.79,GRE 157; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 31 Dec,Accept, Rutgers University - New Brunswick
"Chemistry, Northwestern University",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 30 Dec,Accept, Northwestern University
"Chemistry And Chemical Biology, Rutgers University - New Brunswick",3.3,GRE 158; GRE V 159,Fall 2021,Accepted on 28 Dec,Accept, Rutgers University - New Brunswick
"Chemistry, University Of Washington",0.68,GRE 162; GRE V 159,Fall 2021,Accepted on 23 Dec,Accept, University Of Washington
"Chemistry, UC Santa Barbara (UCSB)",3.75,GRE 162; GRE V 158; GRE AW 5.00,Fall 2021,Accepted on 24 Dec,Accept, UC Santa Barbara (UCSB)
"Chemistry, University Of Chicago",3.93,GRE 163; GRE V 156; GRE AW 5.00,Fall 2021,Accepted on 24 Dec,Accept, University Of Chicago
"Chemistry, University Of Chicago",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Accepted on 22 Dec,Accept, University Of Chicago
"Chemistry, UC San Francisco (UCSF)",3.73,GRE 164; GRE V 156; GRE AW 5.50,Fall 2021,Rejected on 23 Dec,Reject, UC San Francisco (UCSF)
"Chemistry And Chemical Biology (CCB), UC San Francisco (UCSF)",3.87,GRE 163; GRE V 164; GRE AW 5.00,Fall 2021,Rejected on 23 Dec,Reject, UC San Francisco (UCSF)
"Chemistry, University Of Washington",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 22 Dec,Accept, University Of Washington
"Chemistry, University Of Chicago",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 22 Dec,Accept, University Of Chicago
"Chemistry, Northwestern University",3.94,GRE 167; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 22 Dec,Accept, Northwestern University
"Chemistry, University Of Chicago",3.94,GRE 167; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 22 Dec,Accept, University Of Chicago
"Chemistry, Johns Hopkins University",3.79,GRE 157; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 22 Dec,Accept, Johns Hopkins University
"Chemistry, University Of Chicago",3.73,GRE 164; GRE V 156; GRE AW 5.50,Fall 2021,Accepted on 22 Dec,Accept, University Of Chicago
"Chemistry, University Of Illinois",3.93,GRE 163; GRE V 156; GRE AW 5.00,Fall 2021,Accepted on 21 Dec,Accept, University Of Illinois
"Chemistry, University Of California, Los Angeles (UCLA)",3.3,GRE 163; GRE V 154; GRE AW 4.00,Fall 2021,Accepted on 17 Dec,Accept, University Of California
"Chemistry, University Of Washington",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Accepted on 20 Dec,Accept, University Of Washington
"Chemistry, University Of California, Irvine",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Accepted on 19 Dec,Accept, University Of California
"Chemistry, University Of California, Los Angeles (UCLA)",3.73,GRE 156; GRE V 164; GRE AW 5.50,Fall 2021,Accepted on 18 Dec,Accept, University Of California
"Chemistry, University Of California, Los Angeles (UCLA)",4.0,GRE 160; GRE V 160; GRE AW 5.00,Fall 2021,Accepted on 17 Dec,Accept, University Of California
"Chemistry, Yale University",3.87,GRE 169; GRE V 169; GRE AW 4.00,Fall 2021,Accepted on 17 Dec,Accept, Yale University
"Chemistry, University Of Illinois",3.97,GRE 161; GRE V 168; GRE AW 6.00,Fall 2021,Accepted on 17 Dec,Accept, University Of Illinois
"Chemistry, Indiana University Bloomington",3.91,GRE 163; GRE V 156; GRE AW 5.00,Fall 2021,Accepted on 15 Dec,Accept, Indiana University Bloomington
"Chemistry, University Of California, Los Angeles",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 15 Dec,Accept, University Of California
"Chemistry, Indiana University Bloomington",3.71,GRE 160; GRE V 167; GRE AW 4.00,Fall 2021,Accepted on 15 Dec,Accept, Indiana University Bloomington
"Chemistry, University Of Illinois",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 15 Dec,Accept, University Of Illinois
"Chemistry, Texas A",3.93,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 11 Dec,Accept, Texas A
"Chemistry And Biochemistry, George Mason University",3.9,GRE AW 5.50,Fall 2021,Accepted on 6 Dec,Accept, George Mason University
"Chemistry, University Of Notre Dame",3.16,GRE 160; GRE V 165; GRE AW 4.50,Fall 2021,Accepted on 24 Nov,Accept, University Of Notre Dame
"Chemistry, University Of Wisconsin-Madison",3.87,GRE 169; GRE V 169,Fall 2021,Accepted on 22 Nov,Accept, University Of Wisconsin-Madison
"Chemistry, University Of Wisconsin-Madison",3.64,GRE 155; GRE V 167; GRE AW 4.00,Spring 2019,Rejected on 30 Dec,Reject, University Of Wisconsin-Madison
"Chemistry, Harvard University",4.0,GRE 162; GRE V 161; GRE AW 4.50,Fall 2024,Accepted on 23 Jan,Accept, Harvard University
"Chemistry, University Of California, Berkeley",4.0,GRE 162; GRE V 161; GRE AW 4.50,Fall 2024,Accepted on 16 Jan,Accept, University Of California
"Chemistry, University Of Chicago",4.0,GRE 161; GRE V 162; GRE AW 4.50,Fall 2024,Accepted on 5 Jan,Accept, University Of Chicago
"Chemistry, Brown University",3.92,GRE 164; GRE V 165; GRE AW 4.50,Fall 2023,Rejected on 3 Feb,Reject, Brown University
"Chemistry, Northwestern University",3.92,GRE 164; GRE V 165; GRE AW 4.50,Fall 2023,Rejected on 2 Feb,Reject, Northwestern University
"Chemistry, Boston College",3.92,GRE 164; GRE V 165,Fall 2023,Accepted on 13 Jan,Accept, Boston College
"Chemistry, University Of Chicago",3.92,GRE 164; GRE V 165,Spring 2023,Rejected on 5 Jan,Reject, University Of Chicago
"Chemistry, Duke University",3.8,GRE 167; GRE V 162; GRE AW 5.00,Fall 2023,Accepted on 10 Jan,Accept, Duke University
"Chemistry, Yale University",3.5,GRE 170; GRE V 170; GRE AW 3.50,Fall 2023,Accepted on 9 Jan,Accept, Yale University
"Chemistry, Yale University",3.88,GRE 163; GRE V 159; GRE AW 5.50,Fall 2023,Accepted on 23 Dec,Accept, Yale University
"Chemistry, SUNY Stony Brook",3.8,GRE 167; GRE V 162; GRE AW 5.00,Fall 2022,Accepted on 27 Dec,Accept, SUNY Stony Brook
"Chemistry, Yale University",4.0,GRE 166; GRE V 162; GRE AW 5.00,Fall 2022,Accepted on 21 Dec,Accept, Yale University
"Chemistry, Emory University",3.8,GRE 167; GRE V 163; GRE AW 5.00,Fall 2022,Accepted on 20 Dec,Accept, Emory University
"Chemistry, Yale University",3.8,GRE 167; GRE V 163; GRE AW 5.00,Fall 2022,Accepted on 21 Dec,Accept, Yale University
"Chemistry, UNC Chapel Hill",3.8,GRE 167; GRE V 162; GRE AW 5.00,Fall 2022,Accepted on 12 Dec,Accept, UNC Chapel Hill
"Chemistry, Rice University",3.1,GRE 161; GRE V 164; GRE AW 5.00,Fall 2022,Rejected on 3 Mar,Reject, Rice University
"Chemistry, University Of Chicago",3.83,GRE 159; GRE V 160; GRE AW 4.50,Fall 2022,Accepted on 10 Jan,Accept, University Of Chicago
"Chemistry, Northwestern University",3.6,GRE 162; GRE V 156; GRE AW 4.50,Fall 2022,Rejected on 13 Feb,Reject, Northwestern University
"Chemistry And Biochemistry, University Of Maryland",3.6,GRE 151; GRE V 154; GRE AW 4.00,Fall 2022,Accepted on 4 Feb,Accept, University Of Maryland
"Chemistry, Arizona State University",2.99,GRE 160; GRE V 162; GRE AW 4.00,Fall 2022,Accepted on 19 Jan,Accept, Arizona State University
