,GRE_Q_V,Status,GPA,GRE_AW
927,,Wait,,
928,,Rejected,,
929,,Interview,,
930,,Interview,3.76,
931,,Interview,3.76,
932,,Wait,3.76,
933,,Interview,3.98,
934,,Interview,3.76,
935,,Interview,3.76,
936,,Rejected,,
937,,Rejected,,
938,,Accepted,3.71,
939,,Rejected,,
940,,Accepted,3.71,
941,,Rejected,,
942,,Rejected,3.90,
943,,Interview,3.60,
944,321.0,Wait,3.87,5.0
945,,Rejected,3.58,
946,,Interview,3.60,
947,,Accepted,4.00,
948,,Wait,,
949,,Rejected,4.00,
950,,Accepted,3.91,
951,,Rejected,3.69,
952,,Interview,,
953,,Interview,4.00,
954,,Interview,4.00,
955,,Rejected,4.00,
956,,Rejected,3.97,
957,,Accepted,3.83,
958,,Rejected,,
959,311.0,Accepted,3.75,4.5
960,,Rejected,,
961,,Accepted,3.87,
962,,Interview,,
963,,Accepted,3.90,
964,,Interview,,
965,,Interview,,
966,,Accepted,3.93,
967,,Rejected,3.50,
968,,Accepted,,
969,,Interview,,
970,,Accepted,3.90,
971,,Accepted,4.00,
972,,Accepted,,
973,,Interview,,
974,,Accepted,,
975,,Interview,,
976,,Interview,,
977,336.0,Accepted,3.70,
978,,Accepted,4.00,
979,,Accepted,,
980,,Interview,,
981,,Accepted,3.80,
982,,Rejected,,
983,,Interview,,
984,,Rejected,3.05,
985,,Accepted,3.90,
986,,Rejected,3.70,
987,,Accepted,3.90,
988,,Rejected,3.30,
989,,Accepted,,
990,,Accepted,3.90,
991,,Accepted,,
992,,Accepted,3.90,
993,,Rejected,,
994,,Accepted,3.60,
995,,Rejected,,
996,,Rejected,3.50,
997,,Accepted,4.00,
998,,Rejected,3.60,
999,,Accepted,3.90,
